               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.024057,            0.018225,                   0,             0.95816,             0.95247,             0.98146,             0.68197,            0.024238,            0.014227,                   0,            0.005288,            0.005288,            0.005288
                 105,             0.02403,            0.018084,                   0,             0.95798,             0.95243,             0.98088,             0.68181,             0.02425,            0.014234,                   0,           0.0052174,           0.0052174,           0.0052174
                 106,            0.023996,            0.018061,                   0,             0.95771,             0.95307,             0.98147,             0.68194,            0.024256,            0.014236,                   0,           0.0051469,           0.0051469,           0.0051469
                 107,            0.023939,            0.018284,                   0,             0.95624,             0.95519,             0.98197,             0.68209,            0.024262,            0.014238,                   0,           0.0050765,           0.0050765,           0.0050765
                 108,            0.023864,             0.01814,                   0,               0.958,             0.95294,             0.98192,             0.68195,            0.024269,            0.014242,                   0,           0.0050062,           0.0050062,           0.0050062
                 109,            0.023872,            0.018094,                   0,             0.95735,             0.95338,             0.98198,             0.68216,            0.024275,            0.014246,                   0,            0.004936,            0.004936,            0.004936
                 110,            0.023686,            0.017976,                   0,             0.95632,             0.95458,             0.98191,             0.68186,            0.024272,             0.01425,                   0,           0.0048659,           0.0048659,           0.0048659
                 111,            0.023683,             0.01774,                   0,             0.95573,             0.95489,             0.98183,             0.68194,            0.024271,            0.014254,                   0,            0.004796,            0.004796,            0.004796
                 112,            0.023952,            0.017886,                   0,             0.95606,             0.95515,             0.98174,             0.68202,            0.024275,            0.014257,                   0,           0.0047263,           0.0047263,           0.0047263
                 113,            0.023707,            0.017827,                   0,             0.95605,             0.95519,             0.98174,               0.682,            0.024279,             0.01426,                   0,           0.0046568,           0.0046568,           0.0046568
                 114,            0.023365,            0.017716,                   0,             0.95604,              0.9555,             0.98098,             0.68232,            0.024283,            0.014265,                   0,           0.0045875,           0.0045875,           0.0045875
                 115,            0.023771,            0.017943,                   0,             0.95687,             0.95459,             0.98096,             0.68259,            0.024285,            0.014269,                   0,           0.0045184,           0.0045184,           0.0045184
                 116,            0.023402,            0.017772,                   0,             0.95647,             0.95519,             0.98097,             0.68287,             0.02429,            0.014273,                   0,           0.0044495,           0.0044495,           0.0044495
                 117,            0.023324,            0.017772,                   0,             0.95662,             0.95482,              0.9816,             0.68257,            0.024295,            0.014277,                   0,           0.0043809,           0.0043809,           0.0043809
                 118,            0.023349,            0.017794,                   0,             0.95606,             0.95517,             0.98093,              0.6827,            0.024302,            0.014282,                   0,           0.0043126,           0.0043126,           0.0043126
                 119,            0.023198,            0.017736,                   0,             0.95663,             0.95485,             0.98151,             0.68286,            0.024309,            0.014285,                   0,           0.0042445,           0.0042445,           0.0042445
                 120,            0.023277,            0.017609,                   0,             0.95661,             0.95456,             0.98134,             0.68299,            0.024322,             0.01429,                   0,           0.0041768,           0.0041768,           0.0041768
                 121,            0.023284,            0.017592,                   0,             0.95522,             0.95574,             0.98119,             0.68285,            0.024333,            0.014294,                   0,           0.0041094,           0.0041094,           0.0041094
                 122,            0.023208,            0.017302,                   0,             0.95467,             0.95636,             0.98111,             0.68287,            0.024337,            0.014296,                   0,           0.0040424,           0.0040424,           0.0040424
                 123,            0.023119,            0.017526,                   0,             0.95841,             0.95247,             0.98114,             0.68323,            0.024338,            0.014301,                   0,           0.0039757,           0.0039757,           0.0039757
                 124,            0.023008,             0.01749,                   0,             0.95885,             0.95246,             0.98109,             0.68342,            0.024341,            0.014304,                   0,           0.0039094,           0.0039094,           0.0039094
                 125,            0.022928,            0.017345,                   0,             0.95354,             0.95698,             0.98056,             0.68338,            0.024346,            0.014309,                   0,           0.0038434,           0.0038434,           0.0038434
                 126,            0.022938,             0.01753,                   0,             0.95493,             0.95568,             0.98049,             0.68282,            0.024353,            0.014313,                   0,           0.0037779,           0.0037779,           0.0037779
                 127,            0.022823,            0.017226,                   0,             0.95596,             0.95459,             0.98049,             0.68289,            0.024361,            0.014318,                   0,           0.0037128,           0.0037128,           0.0037128
                 128,            0.022631,            0.017258,                   0,             0.95549,             0.95545,             0.98043,             0.68298,            0.024375,            0.014323,                   0,           0.0036482,           0.0036482,           0.0036482
                 129,            0.022576,            0.017299,                   0,             0.95645,             0.95428,             0.98046,             0.68275,            0.024384,            0.014329,                   0,            0.003584,            0.003584,            0.003584
                 130,            0.022625,            0.017464,                   0,             0.95549,             0.95546,              0.9804,             0.68234,            0.024396,            0.014335,                   0,           0.0035203,           0.0035203,           0.0035203
                 131,            0.022603,            0.017197,                   0,             0.95595,             0.95519,             0.98036,             0.68208,            0.024402,            0.014341,                   0,            0.003457,            0.003457,            0.003457
                 132,            0.022563,            0.017166,                   0,             0.95739,             0.95246,              0.9802,             0.68214,            0.024405,            0.014346,                   0,           0.0033943,           0.0033943,           0.0033943
                 133,            0.022549,            0.017222,                   0,             0.95735,             0.95247,             0.98015,             0.68217,             0.02441,            0.014351,                   0,           0.0033321,           0.0033321,           0.0033321
                 134,            0.022314,            0.017041,                   0,             0.95769,             0.95245,              0.9802,             0.68257,            0.024415,            0.014355,                   0,           0.0032704,           0.0032704,           0.0032704
                 135,            0.022356,            0.016981,                   0,             0.95104,             0.95851,             0.98022,              0.6825,            0.024422,            0.014361,                   0,           0.0032093,           0.0032093,           0.0032093
                 136,            0.022197,            0.017219,                   0,             0.95129,             0.95852,             0.97971,             0.68208,             0.02443,            0.014367,                   0,           0.0031488,           0.0031488,           0.0031488
                 137,            0.022116,            0.016856,                   0,             0.95332,             0.95701,             0.98031,             0.68166,            0.024437,            0.014373,                   0,           0.0030888,           0.0030888,           0.0030888
                 138,            0.022191,            0.016912,                   0,             0.95323,             0.95634,             0.98008,             0.68185,            0.024444,            0.014379,                   0,           0.0030294,           0.0030294,           0.0030294
                 139,            0.022174,            0.016889,                   0,             0.95406,             0.95575,             0.97966,             0.68179,            0.024455,            0.014383,                   0,           0.0029706,           0.0029706,           0.0029706
                 140,            0.021874,            0.016748,                   0,             0.95548,             0.95515,             0.97981,             0.68243,            0.024469,            0.014389,                   0,           0.0029125,           0.0029125,           0.0029125
                 141,            0.021956,            0.016631,                   0,             0.95489,             0.95485,                0.98,             0.68209,            0.024481,            0.014396,                   0,            0.002855,            0.002855,            0.002855
                 142,            0.021874,            0.016743,                   0,             0.95547,             0.95486,             0.98018,             0.68202,             0.02449,            0.014403,                   0,           0.0027981,           0.0027981,           0.0027981
                 143,            0.021739,            0.016649,                   0,             0.95408,              0.9564,             0.98014,             0.68225,              0.0245,             0.01441,                   0,           0.0027419,           0.0027419,           0.0027419
                 144,            0.021769,            0.016571,                   0,             0.95378,              0.9564,             0.97975,             0.68219,            0.024505,            0.014418,                   0,           0.0026864,           0.0026864,           0.0026864
                 145,            0.021665,             0.01663,                   0,             0.95518,             0.95487,             0.97979,             0.68215,            0.024515,            0.014427,                   0,           0.0026316,           0.0026316,           0.0026316
                 146,            0.021557,             0.01645,                   0,             0.94781,             0.96246,             0.97977,             0.68191,            0.024521,            0.014435,                   0,           0.0025775,           0.0025775,           0.0025775
                 147,            0.021542,             0.01642,                   0,             0.95464,             0.95577,              0.9798,             0.68182,            0.024529,            0.014444,                   0,           0.0025241,           0.0025241,           0.0025241
                 148,            0.021621,            0.016587,                   0,             0.94807,             0.96216,             0.97995,             0.68169,            0.024538,            0.014453,                   0,           0.0024714,           0.0024714,           0.0024714
                 149,            0.021399,            0.016419,                   0,             0.94806,             0.96216,             0.97988,             0.68142,            0.024546,             0.01446,                   0,           0.0024195,           0.0024195,           0.0024195
                 150,            0.021534,            0.016263,                   0,             0.95267,             0.95731,             0.97967,             0.68136,            0.024555,            0.014467,                   0,           0.0023684,           0.0023684,           0.0023684
                 151,            0.021357,            0.016333,                   0,             0.94809,             0.96207,             0.97969,             0.68156,            0.024563,            0.014473,                   0,            0.002318,            0.002318,            0.002318
                 152,            0.021152,            0.016418,                   0,              0.9527,             0.95761,             0.97969,             0.68123,             0.02457,             0.01448,                   0,           0.0022684,           0.0022684,           0.0022684
                 153,             0.02106,            0.016193,                   0,             0.95211,             0.95731,             0.97961,             0.68121,            0.024577,            0.014487,                   0,           0.0022196,           0.0022196,           0.0022196
                 154,            0.021069,            0.016136,                   0,             0.95212,              0.9573,             0.97936,             0.68146,            0.024586,            0.014494,                   0,           0.0021717,           0.0021717,           0.0021717
                 155,            0.021074,            0.016295,                   0,             0.95211,             0.95701,             0.97935,             0.68135,            0.024596,            0.014502,                   0,           0.0021245,           0.0021245,           0.0021245
                 156,            0.021086,            0.016255,                   0,             0.94641,             0.96243,             0.97878,             0.68103,            0.024606,             0.01451,                   0,           0.0020782,           0.0020782,           0.0020782
                 157,            0.020797,            0.015848,                   0,             0.95393,             0.95459,             0.97881,             0.68085,            0.024617,            0.014519,                   0,           0.0020327,           0.0020327,           0.0020327
                 158,            0.020721,            0.015969,                   0,             0.95358,             0.95489,             0.97886,               0.681,            0.024626,            0.014526,                   0,           0.0019881,           0.0019881,           0.0019881
                 159,            0.020844,            0.015949,                   0,             0.95341,             0.95459,             0.97911,              0.6809,            0.024638,            0.014534,                   0,           0.0019443,           0.0019443,           0.0019443
